aToyLogistics.pddl,(in pkg4 p),(at pkg4 arp1),(at pkg2 arp1),(in pkg1 p),(at t arp1),(at pkg1 loc1),(at pkg1 arp1),(at pkg3 loc2),(at pkg4 arp2),(at t loc1),(at p arp1),(in pkg4 t),(in pkg1 t),(in pkg3 t),
bToyLogistics.pddl,(in pkg4 p),(at pkg4 arp1),(at pkg2 arp1),(in pkg1 p),(at pkg3 arp1),(at t arp1),(at pkg1 loc1),(at pkg1 arp1),(at pkg4 arp2),(at t loc1),(at p arp1),(in pkg4 t),(in pkg3 p),(at pkg3 arp2),(in pkg1 t),(in pkg3 t),
cToyLogistics.pddl,(at pkg3 arp1),(at pkg2 loc1),(at pkg1 loc2),(in pkg1 p),(at pkg4 loc2),(in pkg2 t),(at pkg1 arp1),(at t loc1),(at t arp1),(at p arp1),(in pkg3 p),(at pkg3 arp2),(in pkg1 t),(in pkg3 t),
